"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN022023000","NEW DELHI PALAM, IN","2020-08-05",,"87",,
"IN022023000","NEW DELHI PALAM, IN","2020-08-06",,"90","98",
"IN022023000","NEW DELHI PALAM, IN","2020-08-07",,"88","98","82"
"IN022023000","NEW DELHI PALAM, IN","2020-08-08",,"89","98",
"IN022023000","NEW DELHI PALAM, IN","2020-08-09","0.71","85",,"80"
"IN022023000","NEW DELHI PALAM, IN","2020-08-10","0.03","87",,
"IN022023000","NEW DELHI PALAM, IN","2020-08-11","0.00","87",,
"IN022023000","NEW DELHI PALAM, IN","2020-08-12","0.00","87","98",
"IN022023000","NEW DELHI PALAM, IN","2020-08-13","3.70","81","99",
"IN022023000","NEW DELHI PALAM, IN","2020-08-14","0.28","84",,
"IN022023000","NEW DELHI PALAM, IN","2020-08-15","0.02","86",,"81"
"IN022023000","NEW DELHI PALAM, IN","2020-08-16","0.00","87",,"82"
"IN022023000","NEW DELHI PALAM, IN","2020-08-17",,"86",,
"IN022023000","NEW DELHI PALAM, IN","2020-08-18",,"85",,
"IN022023000","NEW DELHI PALAM, IN","2020-08-19","0.12","80","93",
"IN022023000","NEW DELHI PALAM, IN","2020-08-20","3.50","80",,
"IN022023000","NEW DELHI PALAM, IN","2020-08-21","0.24","85",,"76"
"IN022023000","NEW DELHI PALAM, IN","2020-08-22","0.00","86",,"79"
"IN022023000","NEW DELHI PALAM, IN","2020-08-23",,"84","94",
"IN022023000","NEW DELHI PALAM, IN","2020-08-24",,"83","94",
"IN022023000","NEW DELHI PALAM, IN","2020-08-25",,"84",,
"IN022023000","NEW DELHI PALAM, IN","2020-08-26",,"85",,"81"
"IN022023000","NEW DELHI PALAM, IN","2020-08-27",,"87",,"80"
"IN022023000","NEW DELHI PALAM, IN","2020-08-28",,"83","96",
"IN022023000","NEW DELHI PALAM, IN","2020-08-29",,"86",,"78"
"IN022023000","NEW DELHI PALAM, IN","2020-08-30",,"82","93",
"IN022023000","NEW DELHI PALAM, IN","2020-08-31",,"83",,"78"
"IN022023000","NEW DELHI PALAM, IN","2020-09-01",,"85",,"78"
"IN022023000","NEW DELHI PALAM, IN","2020-09-02",,"86",,
"IN022023000","NEW DELHI PALAM, IN","2020-09-03",,"87",,"82"
"IN022023000","NEW DELHI PALAM, IN","2020-09-04",,"85","96",
"IN022023000","NEW DELHI PALAM, IN","2020-09-05",,"84",,
"IN022023000","NEW DELHI PALAM, IN","2020-09-06",,"85","96","77"
"IN022023000","NEW DELHI PALAM, IN","2020-09-07",,"83","93",
"IN022023000","NEW DELHI PALAM, IN","2020-09-08",,"87",,"78"
"IN022023000","NEW DELHI PALAM, IN","2020-09-09",,"87",,
"IN022023000","NEW DELHI PALAM, IN","2020-09-10",,"87","96",
"IN022023000","NEW DELHI PALAM, IN","2020-09-11",,"89","97","80"
"IN022023000","NEW DELHI PALAM, IN","2020-09-12",,"89","99","80"
"IN022023000","NEW DELHI PALAM, IN","2020-09-13",,"89","98","82"
"IN022023000","NEW DELHI PALAM, IN","2020-09-14",,"88","97",
"IN022023000","NEW DELHI PALAM, IN","2020-09-15",,"89","98",
"IN022023000","NEW DELHI PALAM, IN","2020-09-16",,"90","98","82"
"IN022023000","NEW DELHI PALAM, IN","2020-09-17",,"90","99","81"
"IN022023000","NEW DELHI PALAM, IN","2020-09-18",,"90","100",
"IN022023000","NEW DELHI PALAM, IN","2020-09-19",,"90","100",
"IN022023000","NEW DELHI PALAM, IN","2020-09-20",,"89","98","82"
"IN022023000","NEW DELHI PALAM, IN","2020-09-21",,"89","98","81"
"IN022023000","NEW DELHI PALAM, IN","2020-09-22",,"89","98","83"
"IN022023000","NEW DELHI PALAM, IN","2020-09-23",,"88","98",
"IN022023000","NEW DELHI PALAM, IN","2020-09-24",,"87","96",
"IN022023000","NEW DELHI PALAM, IN","2020-09-25",,"88",,
"IN022023000","NEW DELHI PALAM, IN","2020-09-26",,"84","99",
"IN022023000","NEW DELHI PALAM, IN","2020-09-27",,"84",,"74"
"IN022023000","NEW DELHI PALAM, IN","2020-09-28",,"86","96","74"
"IN022023000","NEW DELHI PALAM, IN","2020-09-29",,"85","97","75"
"IN022023000","NEW DELHI PALAM, IN","2020-09-30",,"84",,
"IN022023000","NEW DELHI PALAM, IN","2020-10-01",,"85","97",
"IN022023000","NEW DELHI PALAM, IN","2020-10-02",,"85","98","72"
"IN022023000","NEW DELHI PALAM, IN","2020-10-03",,"83","96",
"IN022023000","NEW DELHI PALAM, IN","2020-10-04",,"82","96","69"
"IN022023000","NEW DELHI PALAM, IN","2020-10-05",,"82","95","70"
"IN022023000","NEW DELHI PALAM, IN","2020-10-06",,"82",,"69"
"IN022023000","NEW DELHI PALAM, IN","2020-10-07",,"83","96","69"
"IN022023000","NEW DELHI PALAM, IN","2020-10-08",,"83","96","70"
"IN022023000","NEW DELHI PALAM, IN","2020-10-09",,"82","95","70"
"IN022023000","NEW DELHI PALAM, IN","2020-10-10",,"82","94",
"IN022023000","NEW DELHI PALAM, IN","2020-10-11",,"81","94","71"
"IN022023000","NEW DELHI PALAM, IN","2020-10-12",,"81",,"70"
"IN022023000","NEW DELHI PALAM, IN","2020-10-13",,"83",,"71"
"IN022023000","NEW DELHI PALAM, IN","2020-10-14",,"84","93","76"
"IN022023000","NEW DELHI PALAM, IN","2020-10-15",,"82",,
"IN022023000","NEW DELHI PALAM, IN","2020-10-16",,"80","94",
"IN022023000","NEW DELHI PALAM, IN","2020-10-17",,"78","93",
"IN022023000","NEW DELHI PALAM, IN","2020-10-18",,"79","91","68"
"IN022023000","NEW DELHI PALAM, IN","2020-10-19",,"78","92",
"IN022023000","NEW DELHI PALAM, IN","2020-10-20",,"77","92","63"
"IN022023000","NEW DELHI PALAM, IN","2020-10-21",,"78",,
"IN022023000","NEW DELHI PALAM, IN","2020-10-22",,"77","95","67"
"IN022023000","NEW DELHI PALAM, IN","2020-10-23",,"77",,"63"
"IN022023000","NEW DELHI PALAM, IN","2020-10-24",,"75",,
"IN022023000","NEW DELHI PALAM, IN","2020-10-25",,"75",,"62"
"IN022023000","NEW DELHI PALAM, IN","2020-10-26",,"76","90",
"IN022023000","NEW DELHI PALAM, IN","2020-10-27",,"74","90",
